YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_TIME_BLK,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1482,13204,MCO,"Orlando, FL",FL,13342,MKE,"Milwaukee, WI",WI,1730,,,,,1700-1759,1920,,,,,1900-1959,1.0,0.0,170.0,,,1066.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1483,13342,MKE,"Milwaukee, WI",WI,13204,MCO,"Orlando, FL",FL,2015,,,,,2000-2059,2359,,,,,2300-2359,1.0,0.0,164.0,,,1066.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,157,13204,MCO,"Orlando, FL",FL,10821,BWI,"Baltimore, MD",MD,2130,,,,,2100-2159,2349,,,,,2300-2359,1.0,0.0,139.0,,,787.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1600,13204,MCO,"Orlando, FL",FL,14576,ROC,"Rochester, NY",NY,1411,,,,,1400-1459,1655,,,,,1600-1659,1.0,0.0,164.0,,,1033.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1601,14576,ROC,"Rochester, NY",NY,13204,MCO,"Orlando, FL",FL,1800,,,,,1800-1859,2104,,,,,2100-2159,1.0,0.0,184.0,,,1033.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,183,11697,FLL,"Fort Lauderdale, FL",FL,11057,CLT,"Charlotte, NC",NC,2119,,,,,2100-2159,2329,,,,,2300-2359,1.0,0.0,130.0,,,632.0,3
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,19,13930,ORD,"Chicago, IL",IL,11697,FLL,"Fort Lauderdale, FL",FL,730,,,,,0700-0759,1139,,,,,1100-1159,1.0,0.0,189.0,,,1182.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,194,13204,MCO,"Orlando, FL",FL,11298,DFW,"Dallas/Fort Worth, TX",TX,2214,,,,,2200-2259,19,,,,,0001-0559,1.0,0.0,185.0,,,985.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,2300,12889,LAS,"Las Vegas, NV",NV,10800,BUR,"Burbank, CA",CA,702,,,,,0700-0759,813,,,,,0800-0859,1.0,0.0,71.0,,,223.0,1
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,2301,10800,BUR,"Burbank, CA",CA,12889,LAS,"Las Vegas, NV",NV,908,,,,,0900-0959,1016,,,,,1000-1059,1.0,0.0,68.0,,,223.0,1
